Data;Retornos
02/09/2015;0,017746
03/09/2015;0,014744
04/09/2015;0,026146
05/09/2015;-0,001168
06/09/2015;0,015161
07/09/2015;-0,02426
08/09/2015;0,002818
09/09/2015;0,007615
10/09/2015;-0,018087
11/09/2015;-0,02323
12/09/2015;-0,001217
13/09/2015;-0,001654
14/09/2015;-0,00406
15/09/2015;0,017862
16/09/2015;-0,002194
17/09/2015;-0,004748
18/09/2015;-0,000087
19/09/2015;-0,020813
20/09/2015;0,016129
21/09/2015;-0,000522
22/09/2015;0,016694
23/09/2015;0,005418
24/09/2015;-0,003111
25/09/2015;-0,007712
26/09/2015;0,027029
27/09/2015;-0,009084
28/09/2015;-0,003301
29/09/2015;0,004736
30/09/2015;-0,001435
01/10/2015;0,007869
02/10/2015;-0,001048
03/10/2015;0,007607
04/10/2015;0,024637
05/10/2015;-0,012921
06/10/2015;-0,001648
07/10/2015;0,006001
08/10/2015;0,005354
09/10/2015;0,009331
10/10/2015;-0,009331
11/10/2015;0,013883
12/10/2015;0,014169
13/10/2015;0,008327
14/10/2015;0,032595
15/10/2015;0,025206
16/10/2015;-0,029781
17/10/2015;0,008183
18/10/2015;0,022229
19/10/2015;-0,009835
20/10/2015;0,026999
21/10/2015;0,009069
22/10/2015;0,020162
23/10/2015;0,018583
24/10/2015;-0,009459
26/10/2015;0,032807
27/10/2015;0,029691
28/10/2015;0,032701
29/10/2015;0,042113
30/10/2015;-0,049763
31/10/2015;0,036933
01/11/2015;0,106604
02/11/2015;0,098549
03/11/2015;0,011036
04/11/2015;-0,046436
05/11/2015;-0,034262
06/11/2015;0,040488
07/11/2015;-0,035767
08/11/2015;0,02304
09/11/2015;-0,121587
10/11/2015;-0,099802
11/11/2015;0,091331
12/11/2015;-0,00024
13/11/2015;-0,00601
14/11/2015;-0,044122
15/11/2015;0,039408
16/11/2015;0,011143
17/11/2015;0,006002
18/11/2015;-0,033109
19/11/2015;-0,011949
20/11/2015;0,011087
21/11/2015;-0,005931
22/11/2015;-0,002047
23/11/2015;-0,011773
24/11/2015;0,028398
25/11/2015;0,077013
26/11/2015;0,016208
27/11/2015;-0,010317
28/11/2015;0,041318
29/11/2015;0,019044
30/11/2015;-0,043723
01/12/2015;-0,005043
02/12/2015;0,000916
03/12/2015;0,003767
04/12/2015;0,066891
05/12/2015;0,017153
06/12/2015;0,002285
07/12/2015;0,040729
08/12/2015;0,012895
09/12/2015;-0,001227
10/12/2015;0,079411
11/12/2015;-0,039773
12/12/2015;0,005536
13/12/2015;0,016677
14/12/2015;0,045661
15/12/2015;-0,018918
16/12/2015;0,003408
17/12/2015;0,016654
18/12/2015;-0,004284
19/12/2015;-0,04302
20/12/2015;-0,00953
21/12/2015;-0,001281
22/12/2015;0,01228
23/12/2015;0,023566
24/12/2015;0,002359
25/12/2015;-0,089038
26/12/2015;0,016759
27/12/2015;-0,001493
28/12/2015;0,023804
29/12/2015;-0,011105
30/12/2015;0,006534
31/12/2015;0,009353
01/01/2016;-0,000622
02/01/2016;-0,006987
03/01/2016;0,006065
04/01/2016;-0,004904
05/01/2016;-0,000882
06/01/2016;0,059102
07/01/2016;-0,009188
08/01/2016;-0,01012
09/01/2016;-0,00474
10/01/2016;0,003423
11/01/2016;-0,006004
12/01/2016;-0,029322
13/01/2016;-0,007082
14/01/2016;-0,142167
15/01/2016;0,033755
16/01/2016;-0,006697
17/01/2016;0,005033
18/01/2016;-0,012934
19/01/2016;0,088517
20/01/2016;-0,010524
21/01/2016;-0,069622
22/01/2016;0,015456
23/01/2016;0,034199
24/01/2016;-0,023577
25/01/2016;-0,007616
26/01/2016;0,013354
27/01/2016;-0,039581
28/01/2016;0,001579
29/01/2016;-0,006675
30/01/2016;-0,021189
31/01/2016;0,006307
01/02/2016;0,004664
